country,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
203,09-01-2011,4.821510,0.847296,38.000000,0.523505,0.467970,2.127880,13117
203,10-01-2010,3.732924,0.563130,38.000000,0.425233,0.566481,1.610008,17058
203,11-01-2010,3.681381,0.481422,38.000000,0.476090,0.513355,1.570228,18511
203,12-01-2010,3.635811,0.474960,39.000000,0.549459,0.440061,1.599183,21722
208,01-01-2010,6.719887,0.678273,39.000000,0.356352,0.637765,2.391951,1063
208,01-01-2011,7.212013,0.730838,36.000000,0.626365,0.363415,2.463024,20378
208,02-01-2010,6.545285,0.683550,39.000000,0.411036,0.582184,2.929339,7882
208,02-01-2011,6.939433,0.732262,37.000000,0.692905,0.296466,2.530934,18488
208,03-01-2010,6.677278,0.702815,35.000000,0.306567,0.684599,2.815699,13875
208,03-01-2011,7.660355,0.739867,35.000000,0.692231,0.295241,2.689593,18095
208,04-01-2010,7.195893,0.691074,33.000000,0.299478,0.691873,2.896746,17933
208,05-01-2010,7.519532,0.697462,32.000000,0.355945,0.635648,3.089712,18832
208,06-01-2010,7.778471,0.718380,32.000000,0.387334,0.606478,3.227824,15461
208,07-01-2010,7.733093,0.717863,34.000000,0.427378,0.564780,3.067913,13079
208,07-01-2011,8.063800,0.832060,36.000000,0.752008,0.238412,2.816497,15694
208,08-01-2010,6.234236,0.702796,35.000000,0.627452,0.360518,2.397675,21848
208,08-01-2011,8.195432,0.848577,34.000000,0.767318,0.224645,2.904603,16449
208,09-01-2010,6.368737,0.716133,34.000000,0.682153,0.302797,2.413991,22449
208,09-01-2011,8.468128,0.898551,34.000000,0.796398,0.194329,2.901588,15482
208,10-01-2010,6.715701,0.722850,34.000000,0.619011,0.371853,2.452325,21373
208,11-01-2010,6.803389,0.725205,34.000000,0.631491,0.359163,2.442280,19834
208,12-01-2010,7.131791,0.726814,36.000000,0.619632,0.370353,2.451848,19247
233,01-01-2010,3.582337,0.441990,52.000000,0.852576,0.141955,1.606043,1140
233,01-01-2011,3.644441,0.603321,47.000000,0.593681,0.395665,1.447372,4836
233,02-01-2010,3.572893,0.456980,54.000000,0.701940,0.291332,1.781392,3031
233,02-01-2011,2.945759,0.604003,47.000000,0.758624,0.224650,1.406462,4679
233,03-01-2010,3.477180,0.494452,48.000000,0.569314,0.421425,1.650174,6089
233,03-01-2011,3.812610,0.625388,47.000000,0.692101,0.294894,1.527628,4893
233,04-01-2010,3.613853,0.503183,45.000000,0.670734,0.321478,1.714462,7629
233,05-01-2010,3.790618,0.500610,45.000000,0.641367,0.351251,1.897336,6348
233,06-01-2010,3.854058,0.492698,45.000000,0.693670,0.298960,2.026687,6050
233,07-01-2010,3.766260,0.507073,43.000000,0.562622,0.424852,1.847491,4749
233,07-01-2011,3.891606,0.647325,49.000000,0.714620,0.268443,1.796598,3462
233,08-01-2010,3.948549,0.470001,44.000000,0.680026,0.303020,1.402172,4729
233,08-01-2011,4.648611,0.683814,46.000000,0.713814,0.274437,1.795636,3255
233,09-01-2010,3.736895,0.537348,45.000000,0.642903,0.342062,1.453055,4680
233,09-01-2011,4.572467,0.679017,48.000000,0.806413,0.180472,2.180599,3807
233,10-01-2010,4.084200,0.596338,46.000000,0.613842,0.371456,1.505498,4486
233,11-01-2010,3.884461,0.591507,46.000000,0.574700,0.410888,1.474881,4305
233,12-01-2010,3.604384,0.598710,47.000000,0.612882,0.371377,1.473691,4604
246,01-01-2010,4.077756,0.541754,58.000000,0.435120,0.552949,2.334138,2850
246,01-01-2011,5.601815,0.678219,47.000000,0.354541,0.635035,2.154662,11809
246,02-01-2010,4.451958,0.599137,55.000000,0.579150,0.410781,2.712516,8054
246,02-01-2011,5.069702,0.679441,48.000000,0.570954,0.414423,2.310833,10841
246,03-01-2010,4.581684,0.607426,49.000000,0.431426,0.554741,2.644537,14892
246,03-01-2011,5.847460,0.683456,47.000000,0.516594,0.467004,2.495468,10901
246,04-01-2010,4.532474,0.613697,44.000000,0.368369,0.621579,2.709330,18747
246,05-01-2010,5.217699,0.636439,42.000000,0.245180,0.744385,2.684028,17071
246,06-01-2010,5.595751,0.629455,45.000000,0.356382,0.635126,3.055284,15307
246,07-01-2010,5.548352,0.631431,43.000000,0.258097,0.731952,2.898399,11555
246,07-01-2011,6.338061,0.691643,49.000000,0.550291,0.433865,2.706772,8514
246,08-01-2010,4.874747,0.643053,43.000000,0.361618,0.626478,2.164385,13790
246,08-01-2011,7.007332,0.709664,47.000000,0.503450,0.485660,2.645783,8496
246,09-01-2010,5.272536,0.651852,43.000000,0.382642,0.604819,2.171504,14290
246,09-01-2011,6.464979,0.709113,51.000000,0.726252,0.255517,2.862122,9796
246,10-01-2010,5.344511,0.651352,44.000000,0.349398,0.640240,2.132246,12917
246,11-01-2010,5.265020,0.663702,44.000000,0.348670,0.642006,2.118668,11777
246,12-01-2010,5.216509,0.662740,47.000000,0.367265,0.622190,2.165789,11865
250,01-01-2010,4.412889,0.548198,44.000000,0.542469,0.450426,2.313038,5515
250,01-01-2011,3.528594,0.553034,46.000000,0.856048,0.129168,2.466239,107109
250,02-01-2010,4.433853,0.538158,44.000000,0.348608,0.642686,2.446710,24309
250,02-01-2011,3.433089,0.556880,47.000000,0.871966,0.112840,2.573666,87871
250,03-01-2010,4.511846,0.545934,44.000000,0.335546,0.657078,2.526478,52531
250,03-01-2011,3.809695,0.562906,44.000000,0.850132,0.135344,2.597610,83261
250,04-01-2010,4.518846,0.545474,42.000000,0.401557,0.590370,2.637172,94236
250,05-01-2010,4.280205,0.551379,43.000000,0.457926,0.533867,2.615449,100217
250,06-01-2010,4.347736,0.558662,43.000000,0.561062,0.430210,2.817519,79768
250,07-01-2010,4.558929,0.560464,43.000000,0.424791,0.566350,2.739911,66007
250,07-01-2011,4.183023,0.575056,42.000000,0.862530,0.123658,2.764935,69950
