region,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
124_bc,08-01-2010,4.514468,0.393474,56.000000,0.752108,0.231069,2.056671,18787
124_bc,08-01-2011,6.425128,0.421812,34.000000,0.668494,0.312819,2.678743,6409
124_bc,09-01-2010,4.265783,0.392473,56.000000,0.817533,0.171050,2.162411,20094
124_bc,09-01-2011,5.702341,0.503810,39.000000,0.658774,0.327114,2.536189,5106
124_bc,10-01-2010,4.216619,0.401768,55.000000,0.790410,0.198909,2.108534,14515
124_bc,11-01-2010,4.520096,0.405286,49.000000,0.727805,0.264531,2.148603,12811
124_bc,12-01-2010,4.557684,0.405015,44.000000,0.790642,0.198355,2.398545,12719
124_mb,01-01-2010,,0.283221,64.000000,0.607482,0.387638,2.078176,
124_mb,01-01-2011,3.208637,0.350485,52.000000,0.871843,0.117361,2.172945,2486
124_mb,02-01-2010,5.307286,0.350418,59.000000,0.484189,0.509507,2.478046,2224
124_mb,02-01-2011,3.005397,0.355291,57.000000,0.852905,0.135047,2.306523,1836
124_mb,03-01-2010,4.865295,0.342434,53.000000,0.491943,0.502306,2.309251,3340
124_mb,03-01-2011,4.471681,0.366052,52.000000,0.701003,0.280573,2.382600,1859
124_mb,04-01-2010,4.897986,0.347460,53.000000,0.489306,0.505425,2.338934,2842
124_mb,05-01-2010,4.883912,0.351077,55.000000,0.498241,0.497099,2.416971,2782
124_mb,06-01-2010,5.452030,0.349562,53.000000,0.535802,0.458326,2.586188,2241
124_mb,07-01-2010,5.312058,0.348437,53.000000,0.467047,0.522879,2.402770,1956
124_mb,07-01-2011,5.155109,0.403417,53.000000,0.804045,0.163766,2.618433,2160
124_mb,08-01-2010,4.336485,0.342404,52.000000,0.649976,0.332490,1.815356,3820
124_mb,08-01-2011,5.073494,0.404703,54.000000,0.826861,0.142158,2.652818,2275
124_mb,09-01-2010,4.646250,0.341874,40.000000,0.683248,0.309175,2.012175,3565
124_mb,09-01-2011,5.400681,0.412030,55.000000,0.898461,0.084683,2.764436,2237
124_mb,10-01-2010,4.536850,0.343731,48.000000,0.674381,0.318220,1.845314,2113
124_mb,11-01-2010,4.150416,0.359975,56.000000,0.651724,0.338412,1.881064,2505
124_mb,12-01-2010,4.513151,0.372538,48.000000,0.722724,0.264012,2.295086,2876
124_nb,01-01-2010,,0.402460,59.000000,0.096501,0.896994,1.658940,
124_nb,01-01-2011,4.003973,0.312603,61.000000,0.635099,0.352529,2.308183,2306
124_nb,02-01-2010,3.330701,0.385330,59.000000,0.094277,0.899400,2.349405,1221
124_nb,02-01-2011,3.725399,0.304298,66.000000,0.618658,0.367305,2.193755,1598
